"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"17","17","103.94","29","y=0.71x+83.48","99","95","99","10.96","93.36","111","62","114.9","92.98"
"2","2","102.94","18","y=1.77x+71.16","91","100","95","12.33","86.17","100","56","115.28","90.61"
"9","9","100.99","29","y=0.52x+86.01","91","98","90","6.92","93.24","105","76","107.9","94.07"
"1","1","100.26","17","y=1.79x+69.76","88","96","100","10.77","84.12","100","58","111.03","89.5"
"18","18","100.2","11","y=1.93x+79.00","99","93","100","9.27","88.64","100","69","109.47","90.93"
"6","6","98.4","21","y=0.85x+80.54","95","91","91","8.36","89.05","99","69","106.77","90.04"
"15","15","97.18","14","y=1.40x+77.51","95","97","88","7.12","86.64","98","72","104.29","90.06"
"5","5","96.92","29","y=0.84x+72.61","95","95","89","9.57","84.34","96","59","106.5","87.35"
"7","7","96.42","24","y=1.17x+68.43","97","89","91","8.86","81.84","99","66","105.28","87.56"
"14","14","95.92","28","y=0.71x+76.00","93","99","92","8.2","85.61","99","68","104.12","87.72"
"10","10","95.11","25","y=0.43x+84.40","89.54","95","96","5.04","89.54","96","77","100.15","90.06"
"13","13","95","5","y=4.20x+74.00","91","91","78","7.31","82.4","91","73","102.31","87.69"
"4","4","94.22","25","y=0.47x+82.57","95","95","87","4.66","88.16","95","80","98.88","89.56"
"8","8","91.01","33","y=0.40x+77.85","100","92","86","9.8","84.23","100","49","100.81","81.2"
"3","3","90.71","7","y=2.68x+71.96","89","86","80","5.55","80","89","71","96.27","85.16"
"12","12","89.96","25","y=0.43x+79.27","86","92","90","4.66","84.4","92","74","94.62","85.3"
"11","11","89.69","14","y=0.56x+81.87","85.5","85.5","88","4.45","85.5","92","76","94.13","85.24"
"16","16","81.9","17","y=-0.21x+85.51","74","89","74","4.94","83.81","90","74","86.84","76.96"
